Date,ABCB4,BBAS3,BBDC4,BPAN4,BTOW3,CGAS3,CMIG4,CSNA3,CYRE3,ELET3,ELPL4,ENBR3,EQTL3,EZTC3,FIBR3,GOAU4,HGTX3,ITUB4,LAME4,LREN3,MRVE3,MYPK3,PETR4,POMO4,QGEP3,RAPT4,SAPR4,SBSP3,SUZB5,TUPY3,USIM5,VALE5,WEGE3
7/12/2012,5.469818,13.260036,15.285363,NA,5.55347,21.084112,18.047915,8.323679,12.572496,12.012065,17.564919,9.659019,14.323456,14.383728,13.170175,20.197813,30.185541,16.811264,8.311724,6.455485,7.961287,19.319668,17.157679,3.851709,7.966207,5.747446,5.141624,21.036242,3.690479,19.312794,6.314874,30.747002,6.155452
7/13/2012,5.585579,13.38821,15.451077,NA,5.9237,21.888802,18.119558,8.41738,12.718689,11.933096,17.411215,9.682086,14.599115,13.741025,13.563046,20.558825,30.185541,17.285646,8.484752,6.406576,8.205499,18.98856,18.053425,3.881437,8.17239,5.999532,5.195747,21.166622,3.754265,19.312794,6.295016,31.312399,6.020589
7/16/2012,5.527695,13.060629,15.435521,NA,5.5257,21.888802,18.133963,8.41738,12.060824,11.933096,17.411215,9.682086,14.599115,13.741025,13.563046,20.169315,30.27408,NA,8.484752,6.406576,8.205499,18.98856,NA,3.881437,8.17239,6.152589,NA,21.166622,NA,19.312794,NA,31.312399,6.001322
7/17/2012,5.556637,12.960929,15.430385,NA,5.67379,21.478128,18.444672,8.120663,12.718689,12.064712,17.16358,9.989454,14.562293,13.734035,13.491615,20.644333,30.692656,17.137447,8.523203,6.444749,8.417149,18.34428,17.77639,3.906917,8.369204,5.985129,5.195747,21.857653,3.699591,20.186472,5.907783,30.850527,5.988481
7/18/2012,5.672397,13.865351,15.699751,NA,6.007,21.64465,18.64068,8.159705,13.157264,12.064712,17.16358,10.089363,14.406144,14.055424,13.482688,21.29986,30.427017,17.546625,8.638552,6.573608,8.596237,18.863253,17.850267,3.979106,8.547271,5.891492,5.27693,21.827181,3.690479,20.232452,6.126222,30.739029,5.982053
7/19/2012,5.770795,14.171562,15.875807,NA,6.26616,21.64465,18.674137,8.167513,13.659798,12.319166,17.018417,10.043227,14.782855,14.663164,13.509474,21.736876,30.588015,17.884621,8.824394,6.704843,8.970695,19.409092,18.118069,3.962116,8.715967,5.949113,5.337817,21.924259,3.726928,20.232452,6.106364,30.715145,6.020589
7/20/2012,5.643464,14.185811,15.813679,NA,5.94221,21.64465,18.4638,7.816139,13.029345,12.064712,17.07819,9.951033,13.827331,14.341776,13.446972,20.938845,29.509386,17.819326,8.484752,6.549736,8.400867,18.460567,17.71175,3.843218,8.500411,5.848284,5.263399,22.257286,3.635805,20.232452,5.907783,30.165667,5.988481
7/23/2012,5.510333,13.922319,15.057444,NA,5.62751,21.64465,18.315571,7.644354,12.161332,11.766383,16.907408,9.943395,13.367933,14.14624,13.214819,20.530331,29.461086,17.31534,8.548828,6.561666,8.058971,18.174265,17.508591,3.75828,8.387946,5.833872,5.283697,22.4238,3.553794,20.232452,5.669486,29.369318,5.770134
7/24/2012,5.579789,14.029141,15.192125,NA,5.4424,21.64465,18.043116,7.581889,12.243565,11.634769,16.395063,9.958748,13.551672,14.041441,12.929092,20.368822,28.897619,17.902409,8.471929,6.472191,8.075253,18.2279,17.351604,3.932397,8.406691,6.013935,5.243104,22.368351,3.562907,20.692282,5.580124,27.991638,5.776552
7/25/2012,5.504542,13.708676,15.259468,NA,5.40538,21.64465,18.191273,7.285171,12.298387,11.625994,16.395063,9.958748,13.551672,14.460556,12.786231,19.903303,28.551497,18.026911,8.471929,6.465032,8.140376,18.388994,17.545528,3.970616,8.191134,5.999532,5.236339,22.479336,3.53557,20.692282,5.639699,27.967739,5.837565
