Date,PETR3.SA,PETR4.SA
2017-05-16 00:00:00-03:00,7.595916748046875,6.918323040008545
2017-05-17 00:00:00-03:00,7.553691387176514,6.878662586212158
2017-05-18 00:00:00-03:00,6.695105075836182,5.794645309448242
2017-05-19 00:00:00-03:00,6.760788440704346,6.001754283905029
2017-05-22 00:00:00-03:00,6.713870525360107,5.904809474945068
2017-05-23 00:00:00-03:00,6.765479564666748,5.944469451904297
2017-05-24 00:00:00-03:00,6.948459625244141,6.191236972808838
2017-05-25 00:00:00-03:00,6.784247398376465,6.054633617401123
2017-05-26 00:00:00-03:00,6.826472282409668,6.028194427490234
2017-05-29 00:00:00-03:00,6.826472282409668,6.028194427490234
2017-05-30 00:00:00-03:00,6.648186683654785,5.887183666229248
2017-05-31 00:00:00-03:00,6.390140533447266,5.710920810699463
2017-06-01 00:00:00-03:00,6.352607727050781,5.649228572845459
2017-06-02 00:00:00-03:00,6.446442127227783,5.750579357147217
2017-06-05 00:00:00-03:00,6.5590434074401855,5.807865619659424
2017-06-06 00:00:00-03:00,6.563735485076904,5.807865619659424
2017-06-07 00:00:00-03:00,6.418292045593262,5.671262264251709
2017-06-08 00:00:00-03:00,6.427674770355225,5.658041954040527
2017-06-09 00:00:00-03:00,6.465209007263184,5.662448883056641
2017-06-12 00:00:00-03:00,6.465209007263184,5.684482097625732
2017-06-13 00:00:00-03:00,6.507434368133545,5.7021074295043945
2017-06-14 00:00:00-03:00,6.352607727050781,5.561096668243408
2017-06-15 00:00:00-03:00,6.352607727050781,5.561096668243408
2017-06-16 00:00:00-03:00,6.329147815704346,5.41127347946167
2017-06-19 00:00:00-03:00,6.254082202911377,5.415680408477783
2017-06-20 00:00:00-03:00,6.103946208953857,5.226197242736816
2017-06-21 00:00:00-03:00,5.996036052703857,5.129253387451172
2017-06-22 00:00:00-03:00,6.1227126121521,5.305515766143799
2017-06-23 00:00:00-03:00,6.047645092010498,5.257043361663818
2017-06-26 00:00:00-03:00,6.141479969024658,5.406867980957031
2017-06-27 00:00:00-03:00,6.094560623168945,5.380427837371826
2017-06-28 00:00:00-03:00,6.042953014373779,5.3231425285339355
2017-06-29 00:00:00-03:00,6.103946208953857,5.367208003997803
2017-06-30 00:00:00-03:00,6.193089008331299,5.450932502746582
2017-07-03 00:00:00-03:00,6.230621814727783,5.446526527404785
2017-07-04 00:00:00-03:00,6.249388694763184,5.4773736000061035
2017-07-05 00:00:00-03:00,6.12740421295166,5.380427837371826
2017-07-06 00:00:00-03:00,6.066411018371582,5.362801551818848
